MNTN_HEIGHT,ROAD_EASY,ROAD_MID,ROAD_DIFF,Sel_Cos,Raw_Cos,class
758,39.39000000000001,1.61,0.0,0.7518094115561125,0.1718915524904618,1
920,178.70000000000005,0.43,0.0,0.8597269536210953,0.194906700155386,1
1468,114.34,3.3,0.0,0.8075728530872482,0.175588567967719,1
877,21.920000000000005,0.0,0.0,0.7518094115561125,0.1786965715183616,1
1111,5.34,0.0,0.0,0.8075728530872482,0.175588567967719,1
887,7.85,0.0,0.0,0.6915640748081248,0.1708205666591711,1
1579,13.93,0.0,0.0,0.7518094115561125,0.1797206290224854,1
795,194.03,0.95,0.0,0.7223151185146154,0.2081122274419847,1
766,103.14,0.64,0.01,0.2948839123097942,0.0995493608375457,1
1172,42.5,1.89,0.0,0.6255432421712244,0.1196434416464792,1
1313,37.75,1.75,0.0,0.7518094115561125,0.1958460149946443,1
1391,89.13,1.27,0.0,0.659380473395787,0.1241598671088091,1
687,23.47,0.01,0.0,0.780189497605494,0.2018450406725867,1
714,61.94,0.2,0.0,0.8340576562282991,0.1842584698282057,1
722,33.68,0.0,0.0,0.8075728530872482,0.1702825477899889,1
362,41.38000000000001,0.0,0.0,0.7518094115561125,0.1334220051390058,1
740,113.13,2.27,0.0,0.884651736929383,0.2009337717266495,1
1113,39.31,0.4,0.0,0.7518094115561125,0.1852517841405385,1
1565,68.82999999999998,0.0,0.0,0.8340576562282991,0.2076708436419372,1
1268,116.99,0.33,0.0,0.6915640748081248,0.1188740224653984,1
1108,15.01,0.0,0.0,0.7223151185146154,0.1433674653956382,1
1016,5.0600000000000005,1.79,0.0,0.9088932591463856,0.1802304758029237,1
1159,73.16000000000004,4.53,0.0,0.8597269536210953,0.1724245508316366,1
1562,262.40000000000003,2.24,0.0,0.780189497605494,0.1766306457690034,1
836,182.21000000000004,1.12,0.0,0.8340576562282991,0.2188577095023738,1
864,19.51,0.0,0.0,0.7518094115561125,0.1631269052824031,1
560,21.4,0.0,0.0,0.884651736929383,0.1792093317445478,1
1433,109.08000000000004,0.0,0.0,0.8597269536210953,0.2098684799070745,1
1252,20.16,2.15,0.0,0.8597269536210953,0.1925383655428427,1
1028,55.150000000000006,0.0,0.0,0.659380473395787,0.145274876939204,1
877,106.52,0.0,0.0,0.0,0.0,1
734,19.52,0.34,0.0,0.8075728530872482,0.2175962712752544,1
472,31.649999999999995,0.6,0.0,0.7223151185146154,0.2137672988688871,1
1187,13.550000000000008,0.0,0.0,0.8075728530872482,0.1713568962886255,1
731,22.410000000000004,1.47,0.0,0.8340576562282991,0.1681132547844104,1
905,48.18,1.63,0.0,0.8597269536210953,0.2013899216252087,1
1562,29.3,0.0,0.0,0.780189497605494,0.1766306457690034,1
632,99.42000000000002,0.42,0.0,0.8340576562282991,0.2137672988688871,1
945,138.15,1.5,0.0,0.3611575592573077,0.095791417128687,1
996,5.6,0.0,0.0,0.780189497605494,0.1734856350056469,1
1192,202.7600000000001,1.36,0.0,0.780189497605494,0.1882002736414465,1
810,112.36999999999998,0.87,0.0,0.659380473395787,0.1585630093424396,1
766,156.87,4.47,0.03,0.2948839123097942,0.0995493608375457,1
656,21.210000000000004,2.71,0.0,0.8340576562282991,0.1807388843609994,1
1350,28.49,0.0,0.0,0.8075728530872482,0.1697428236183769,1
1004,59.38,1.18,0.0,0.7518094115561125,0.1427259970084605,1
724,64.00999999999999,1.57,0.0,0.8340576562282991,0.1827583759166744,1
1083,64.53000000000002,0.0,0.0,0.9088932591463856,0.1827583759166744,1
1567,42.64,0.33,0.0,0.780189497605494,0.2326765437545875,1
1915,566.9700000000001,1.8,0.0,0.884651736929383,0.2358103757447156,1
1242,43.41999999999999,2.7,0.0,0.8597269536210953,0.1750652029646207,1
1079,18.8,0.0,0.0,0.780189497605494,0.1832597715801559,1
761,174.33000000000004,0.38,0.0,0.8075728530872482,0.1792093317445478,1
922,22.09,0.0,0.0,0.8597269536210953,0.1702825477899889,1
847,19.09,0.28,0.0,0.8597269536210953,0.2188577095023738,1
1157,17.13,0.0,0.0,0.6915640748081248,0.1686581938303578,1
1136,214.75,2.98,0.0,0.2085144140570747,0.0856784481443127,1
801,213.66000000000017,1.37,0.0,0.7518094115561125,0.1882002736414465,1
607,20.32,0.0,0.0,0.8597269536210953,0.1745402686406017,1
1193,62.29000000000004,0.0,0.01,0.8340576562282991,0.1734856350056469,1
1126,25.96,0.0,0.0,0.7518094115561125,0.1724245508316366,1
1279,190.94,7.300000000000001,0.0,0.2085144140570747,0.108375617009862,1
588,47.41,0.75,0.0,0.7223151185146154,0.154459018993251,1
1426,29.96,0.0,0.0,0.780189497605494,0.1776666115188672,1
711,85.75,0.0,0.0,0.8340576562282991,0.1602896991932479,1
1446,68.78,0.0,0.0,0.8597269536210953,0.1977112572336846,1
1073,15.09,0.0,0.0,0.8597269536210953,0.2058958466101542,1
1031,16.869999999999997,0.0,0.0,0.7518094115561125,0.181245866799685,1
887,29.81,0.0,0.0,0.884651736929383,0.191582834257374,1
879,32.85,0.83,0.0,0.8597269536210953,0.1807388843609994,1
1241,71.38000000000002,3.18,0.0,0.780189497605494,0.1708205666591711,1
931,12.35,0.0,0.0,0.9088932591463856,0.2009337717266495,1
1196,66.51999999999997,0.86,0.0,0.5107539184552492,0.1374865481666317,1
935,20.84,2.35,0.0,0.8075728530872482,0.1702825477899889,1
1119,65.93999999999997,1.35,0.0,0.8597269536210953,0.1934891780687752,1
696,107.34000000000007,0.18,0.0,0.5107539184552492,0.1108865821368827,1
965,37.86,1.2,0.0,0.884651736929383,0.1642480655923686,1
89,22.3,0.0,0.0,0.0,0.0,0
