,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,11978,471105504,대잠동센트럴,이동중앙하이츠옆-이동우미향식당앞구간, ,0.44,쉬움,8,5,토사, , , , ,2016-12-31,471105504
1,1,11979,471105504,대잠동센트럴,이동중앙하이츠옆-이동우미향식당앞구간, ,0.18,쉬움,3,2,토사, , , , ,2016-12-31,471105504
2,2,11980,471105504,대잠동센트럴,이동중앙하이츠옆-이동우미향식당앞구간, ,0.57,쉬움,10,7,토사, , , , ,2016-12-31,471105504
3,3,11981,471105504,대잠동센트럴,이동중앙하이츠옆-이동우미향식당앞구간, ,1.24,쉬움,22,15,토사, , , , ,2016-12-31,471105504
4,4,11982,471105504,대잠동센트럴,이동중앙하이츠옆-이동우미향식당앞구간, ,0.08,중간,1,1,토사, , , , ,2016-12-31,471105504
